province,country,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region,Active_rate,Death_rate,reacovery_rate,new_cases
Liaoning,China,41.2956,122.6085,22-01-2020,2,0,0,2,Western Pacific,100,0,0,2
Macau,China,22.1667,113.55,22-01-2020,1,0,0,1,Western Pacific,100,0,0,-1
Ningxia,China,37.2692,106.1655,22-01-2020,1,0,0,1,Western Pacific,100,0,0,0
Qinghai,China,35.7452,95.9956,22-01-2020,0,0,0,0,Western Pacific,,,,-1
Shaanxi,China,35.1917,108.8701,22-01-2020,0,0,0,0,Western Pacific,,,,0
Shandong,China,36.3427,118.1498,22-01-2020,2,0,0,2,Western Pacific,100,0,0,2
Shanghai,China,31.202,121.4491,22-01-2020,9,0,0,9,Western Pacific,100,0,0,7
Shanxi,China,37.5777,112.2922,22-01-2020,1,0,0,1,Western Pacific,100,0,0,-8
Sichuan,China,30.6171,102.7103,22-01-2020,5,0,0,5,Western Pacific,100,0,0,4
Tianjin,China,39.3054,117.323,22-01-2020,4,0,0,4,Western Pacific,100,0,0,-1
Tibet,China,31.6927,88.0924,22-01-2020,0,0,0,0,Western Pacific,,,,-4
Xinjiang,China,41.1129,85.2401,22-01-2020,0,0,0,0,Western Pacific,,,,0
Yunnan,China,24.974,101.487,22-01-2020,1,0,0,1,Western Pacific,100,0,0,1
Zhejiang,China,29.1832,120.0934,22-01-2020,10,0,0,10,Western Pacific,100,0,0,9
Unknown,Colombia,4.5709,-74.2973,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Congo (Brazzaville),-0.228,15.8277,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Congo (Kinshasa),-4.0383,21.7587,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Costa Rica,9.7489,-83.7534,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Cote d'Ivoire,7.54,-5.5471,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Croatia,45.1,15.2,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Cuba,21.521757,-77.781167,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Cyprus,35.1264,33.4299,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Czechia,49.8175,15.473,22-01-2020,0,0,0,0,Europe,,,,
Faroe Islands,Denmark,61.8926,-6.9118,22-01-2020,0,0,0,0,Europe,,,,
Greenland,Greenland,71.7069,-42.6043,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Denmark,56.2639,9.5018,22-01-2020,0,0,0,0,Europe,,,,0
Unknown,Djibouti,11.8251,42.5903,22-01-2020,0,0,0,0,Eastern Mediterranean,,,,
Unknown,Dominican Republic,18.7357,-70.1627,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Ecuador,-1.8312,-78.1834,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Egypt,26.820553,30.802498,22-01-2020,0,0,0,0,Eastern Mediterranean,,,,
Unknown,El Salvador,13.7942,-88.8965,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Equatorial Guinea,1.6508,10.2679,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Eritrea,15.1794,39.7823,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Estonia,58.5953,25.0136,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Eswatini,-26.5225,31.4659,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Ethiopia,9.145,40.4897,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Fiji,-17.7134,178.065,22-01-2020,0,0,0,0,Western Pacific,,,,
Unknown,Finland,61.92411,25.748151,22-01-2020,0,0,0,0,Europe,,,,
French Guiana,France,3.9339,-53.1258,22-01-2020,0,0,0,0,Europe,,,,
French Polynesia,France,-17.6797,149.4068,22-01-2020,0,0,0,0,Europe,,,,0
Guadeloupe,France,16.265,-61.551,22-01-2020,0,0,0,0,Europe,,,,0
Mayotte,France,-12.8275,45.166244,22-01-2020,0,0,0,0,Europe,,,,0
New Caledonia,France,-20.904305,165.618042,22-01-2020,0,0,0,0,Europe,,,,0
Reunion,France,-21.1151,55.5364,22-01-2020,0,0,0,0,Europe,,,,0
Saint Barthelemy,France,17.9,-62.8333,22-01-2020,0,0,0,0,Europe,,,,0
St Martin,France,18.0708,-63.0501,22-01-2020,0,0,0,0,Europe,,,,0
Martinique,France,14.6415,-61.0242,22-01-2020,0,0,0,0,Europe,,,,0
Unknown,France,46.2276,2.2137,22-01-2020,0,0,0,0,Europe,,,,0
Unknown,Gabon,-0.8037,11.6094,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Gambia,13.4432,-15.3101,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Georgia,42.3154,43.3569,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Germany,51.165691,10.451526,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Ghana,7.9465,-1.0232,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Greece,39.0742,21.8243,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Guatemala,15.7835,-90.2308,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Guinea,9.9456,-9.6966,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Guyana,4.860416,-58.93018,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Haiti,18.9712,-72.2852,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Holy See,41.9029,12.4534,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Honduras,15.2,-86.2419,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Hungary,47.1625,19.5033,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Iceland,64.9631,-19.0208,22-01-2020,0,0,0,0,Europe,,,,
Unknown,India,20.593684,78.96288,22-01-2020,0,0,0,0,South-East Asia,,,,
Unknown,Indonesia,-0.7893,113.9213,22-01-2020,0,0,0,0,South-East Asia,,,,
Unknown,Iran,32.427908,53.688046,22-01-2020,0,0,0,0,Eastern Mediterranean,,,,
Unknown,Iraq,33.223191,43.679291,22-01-2020,0,0,0,0,Eastern Mediterranean,,,,
Unknown,Ireland,53.1424,-7.6921,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Israel,31.046051,34.851612,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Italy,41.87194,12.56738,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Jamaica,18.1096,-77.2975,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Japan,36.204824,138.252924,22-01-2020,2,0,0,2,Western Pacific,100,0,0,
Unknown,Jordan,31.24,36.51,22-01-2020,0,0,0,0,Eastern Mediterranean,,,,
Unknown,Kazakhstan,48.0196,66.9237,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Kenya,-0.0236,37.9062,22-01-2020,0,0,0,0,Africa,,,,
Unknown,South Korea,35.907757,127.766922,22-01-2020,1,0,0,1,Western Pacific,100,0,0,
Unknown,Kuwait,29.31166,47.481766,22-01-2020,0,0,0,0,Eastern Mediterranean,,,,
Unknown,Kyrgyzstan,41.20438,74.766098,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Latvia,56.8796,24.6032,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Lebanon,33.8547,35.8623,22-01-2020,0,0,0,0,Eastern Mediterranean,,,,
Unknown,Liberia,6.428055,-9.429499,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Liechtenstein,47.14,9.55,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Lithuania,55.1694,23.8813,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Luxembourg,49.8153,6.1296,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Madagascar,-18.766947,46.869107,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Malaysia,4.210484,101.975766,22-01-2020,0,0,0,0,Western Pacific,,,,
Unknown,Maldives,3.2028,73.2207,22-01-2020,0,0,0,0,South-East Asia,,,,
Unknown,Malta,35.9375,14.3754,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Mauritania,21.0079,-10.9408,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Mauritius,-20.348404,57.552152,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Mexico,23.6345,-102.5528,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Moldova,47.4116,28.3699,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Monaco,43.7333,7.4167,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Mongolia,46.8625,103.8467,22-01-2020,0,0,0,0,Western Pacific,,,,
Unknown,Montenegro,42.708678,19.37439,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Morocco,31.7917,-7.0926,22-01-2020,0,0,0,0,Eastern Mediterranean,,,,
Unknown,Namibia,-22.9576,18.4904,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Nepal,28.1667,84.25,22-01-2020,0,0,0,0,South-East Asia,,,,
Aruba,Netherlands,12.5211,-69.9683,22-01-2020,0,0,0,0,Europe,,,,
Curacao,Netherlands,12.1696,-68.99,22-01-2020,0,0,0,0,Europe,,,,0
Sint Maarten,Netherlands,18.0425,-63.0548,22-01-2020,0,0,0,0,Europe,,,,0
Unknown,Netherlands,52.1326,5.2913,22-01-2020,0,0,0,0,Europe,,,,0
Unknown,New Zealand,-40.9006,174.886,22-01-2020,0,0,0,0,Western Pacific,,,,
Unknown,Nicaragua,12.865416,-85.207229,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Niger,17.607789,8.081666,22-01-2020,0,0,0,0,Africa,,,,
